Grade,Course Name,Period,Teacher,Location,Term
11,STUDY HALL,8,J. Reynolds,LIB,SEM2
11,AMERICAN GOVERNMENT,9,R. Sparks,124,ALYR
11,FLEX TIME,1,M. Doty,AUD,ALYR
11,STUDY HALL,10,J. Reynolds,LIB,ALYR
11,AMERICAN GOVERNMENT,2,R. Sparks,124,ALYR
11,ENVIRONMENTAL SCIENCE,3,R. Yobi,133,ALYR
11,ENGLISH 11,4,S. Emert,122,ALYR
11,STUDY HALL,5,J. Reynolds,LIB,SEM1
11,STEM: CODING II,5,B. Welch,129,SEM2
11,ALGEBRA II,6,D. Fennell,132,ALYR
11,LUNCH,7,Z. McFarren,CAFE,ALYR
11,STEM: Des & Prod,8,B. Welch,129,SEM1
11,STEM: Drafting/CAD,8,B. Welch,129,SEM2
11,CHORALE,9,H. Carr,AUD,ALYR
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,GEOMETRY,10,I. Haver,127,ALYR
10,ENGLISH 10,2,J. Augspurger,120,ALYR
10,INTEGRATED BIOLOGY,3,J. Miller,131,ALYR
10,MODERN US HISTORY,4,M. Shipley,125,ALYR
10,WIN READING/WRITING,5,R. Harmon,126,SEM1
10,WIN READING/WRITING,5,R. Harmon,126,SEM2
10,LUNCH,6,Z. McFarren,CAFE,ALYR
10,WIN MATH,7,E. Boyer,126,SEM1
10,WIN MATH,7,E. Boyer,126,SEM2
10,CHOIR,8,H. Carr,AUD,ALYR
10,STUDY HALL,9,J. Reynolds,LIB,ALYR
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,GEOMETRY,10,I. Haver,127,ALYR
10,WIN READING/WRITING,2,R. Harmon,LIB,SEM1
10,WIN READING/WRITING,2,R. Harmon,LIB,SEM2
10,INTEGRATED BIOLOGY,3,J. Miller,131,ALYR
10,MODERN US HISTORY,4,M. Shipley,125,ALYR
10,STUDY HALL,5,J. Reynolds,LIB,ALYR
10,LUNCH,6,Z. McFarren,CAFE,ALYR
10,MATH PREP,7,J. Warner,121,SEM1
10,WIN MATH,7,E. Boyer,126,SEM2
10,ART I,8,L. Delciappo,ART,SEM1
10,ART II,8,L. Delciappo,ART,SEM2
10,ENGLISH 10,9,J. Augspurger,120,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,PHYSICAL EDUCATION,10,S. Huth,GYM,SEM1
9,HEALTH,10,S. Huth,134,SEM2
9,ALGEBRA I,2,I. Haver,127,ALYR
9,WORLD STUDIES,3,R. Sparks,124,ALYR
9,STEM 1,4,B. Welch,129,SEM1
9,STEM II,4,B. Welch,129,SEM2
9,ENGLISH 9,5,S. Emert,122,ALYR
9,STUDY HALL,6,M. Doty,LIB,ALYR
9,LUNCH,7,Z. McFarren,CAFE,ALYR
9,ART I,8,L. Delciappo,ART,SEM1
9,FINANCIAL LITERACY,8,D. Fennell,132,SEM2
9,PHYSICAL SCIENCE,9,R. Yobi,133,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,BAND,10,R. Kaserman,MUS,ALYR
9,PHYSICAL SCIENCE,2,R. Yobi,133,ALYR
9,WORLD STUDIES,3,R. Sparks,124,ALYR
9,SPANISH I,4,F. Vaughan,134,ALYR
9,ALGEBRA II,5,D. Fennell,132,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,GEOMETRY,7,I. Haver,127,ALYR
9,STUDY HALL,8,J. Reynolds,LIB,ALYR
9,ENGLISH 9,9,S. Emert,122,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,GEOMETRY,10,I. Haver,127,ALYR
9,STUDY HALL,2,J. Reynolds,LIB,ALYR
9,SPANISH I,3,F. Vaughan,134,ALYR
9,WORLD STUDIES,4,R. Sparks,124,ALYR
9,ENGLISH 9,5,S. Emert,122,ALYR
9,ALGEBRA II,6,D. Fennell,132,ALYR
9,LUNCH,7,Z. McFarren,CAFE,ALYR
9,CHOIR,8,H. Carr,AUD,ALYR
9,PHYSICAL SCIENCE,9,R. Yobi,133,ALYR
11,FLEX TIME,1,M. Doty,AUD,ALYR
11,STUDY HALL,10,J. Reynolds,LIB,SEM1
11,FINANCIAL LITERACY,10,D. Fennell,132,SEM2
11,AMERICAN GOVERNMENT,2,R. Sparks,124,ALYR
11,STUDY HALL,3,J. Reynolds,LIB,ALYR
11,ENGLISH 11,4,S. Emert,122,ALYR
11,ALGEBRA II,5,D. Fennell,132,ALYR
11,LUNCH,6,Z. McFarren,CAFE,ALYR
11,STEM 1,7,B. Welch,129,SEM1
11,STUDY HALL,7,J. Reynolds,LIB,SEM2
11,BIOLOGY II,8,J. Miller,131,ALYR
11,ART III,9,L. Delciappo,ART,SEM1
11,ART IV,9,L. Delciappo,ART,SEM2
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,FINANCIAL LITERACY,10,D. Fennell,132,SEM1
9,HEALTH,10,S. Huth,134,SEM2
9,ALGEBRA I,2,I. Haver,127,ALYR
9,SPANISH I,3,F. Vaughan,134,ALYR
9,WORLD STUDIES,4,R. Sparks,124,ALYR
9,ENGLISH 9,5,S. Emert,122,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,ART I,7,L. Delciappo,ART,SEM1
9,ART II,7,L. Delciappo,ART,SEM2
9,STUDY HALL,8,J. Reynolds,LIB,SEM1
9,COMPUTER APPLICATIONS,8,M. Doty,136,SEM2
9,PHYSICAL SCIENCE,9,R. Yobi,133,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
